區域,分類,活動名稱（完整）,顯示名稱,描述,標籤,Google Maps,備註
曼谷,放鬆,"V Club Men's Spa","V Club Men's Spa","曼谷規模極大的頂級男模會館，位於 Silom Soi 6。師傅陣容龐大且體態多樣（含肌肉與壯熊），硬體設備豪華乾淨。人均約 1,500–3,500 THB。","Silom Soi 6、壯熊/肌肉、豪華設備、1,500–3,500 THB","https://maps.google.com/?q=V+Club+Mens+Spa+Silom+Bangkok",""
曼谷,放鬆,"The Prime Men's Spa","The Prime Men's Spa","評價極高的高質感男士 SPA 會館，位於 Surawong。隱密性高，服務態度專業，師傅素質穩定。人均約 1,500–3,000 THB。","Surawong、隱密高質感、服務專業、1,500–3,000 THB","https://maps.google.com/?q=The+Prime+Mens+Spa+Bangkok+Surawong",""
曼谷,放鬆,"The Prime Massage","The Prime Massage","曼谷高評價按摩店，提供泰式按摩、精油按摩、足底按摩等服務，環境乾淨舒適，技師手法專業。Silom 區分店，建議提前預約。人均約 500–1,000 THB。","Silom 區、專業按摩、建議預約、500–1,000 THB","https://maps.google.com/?q=The+Prime+Massage+Bangkok+Silom",""
曼谷,放鬆,"Senso Men's Club","Senso Men's Club","曼谷老字號同志按摩會館，位於 Surawong，距住宿步行可達。師傅選擇多元，價格相對透明合理。人均約 1,200–2,500 THB。","Surawong 步行可達、老字號、價格透明、1,200–2,500 THB","https://maps.google.com/?q=Senso+Mens+Club+Bangkok+Surawong",""
曼谷,放鬆,"Prince Men's Spa","Prince Men's Spa","位於 Silom 核心區域，環境舒適。提供各類精油與深層組織按摩，客群以外國同志旅客為主。人均約 1,200–2,500 THB。","Silom、深層組織、外國旅客為主、1,200–2,500 THB","https://maps.google.com/?q=Prince+Mens+Spa+Silom+Bangkok",""
曼谷,放鬆,"The Six Men's Club","The Six Men's Club","穩定經營的男同志按摩店，位於 Surawong。師傅體態涵蓋一般、陽光至壯熊，服務細心，不會有強迫推銷的壓力。人均約 1,200–2,500 THB。","Surawong、壯熊可選、無強迫推銷、1,200–2,500 THB","https://maps.google.com/?q=The+Six+Mens+Club+Bangkok+Surawong",""
曼谷,放鬆,"Uranus Men's Spa","Uranus Men's Spa","位於 V Club 同條巷弄（Silom Soi 6），另一間廣受同志社群歡迎的按摩店。師傅排班穩定，性價比不錯。人均約 1,200–2,500 THB。","Silom Soi 6、排班穩定、性價比佳、1,200–2,500 THB","https://maps.google.com/?q=Uranus+Mens+Spa+Silom+Bangkok",""
曼谷,放鬆,"飯店泳池","飯店泳池","The Quarter Silom 飯店附設泳池，免費使用。適合午後放空或輕鬆游泳，無需額外費用。","免費使用、The Quarter Silom、下午最舒適","https://maps.google.com/?q=The+Quarter+Silom+12+Suriyawong+Soi+Silom+6+Bang+Rak+Bangkok+10500",""
曼谷,放鬆,"咖啡廳放空","咖啡廳","曼谷咖啡文化興盛，Silom 周邊巷弄藏有多家網美咖啡廳。推薦探索 Silom Soi 周邊或 Sathorn 區小店。","網美咖啡廳、Silom 巷弄、Sathorn 區、值得探索","https://maps.google.com/?q=cafes+Silom+Sathorn+Bangkok",""
曼谷,放鬆,"健身房","健身房","飯店健身房免費使用，或就近找 Fitness First（日費約 300 THB）。維持重訓或有氧訓練習慣，早上 06:00 即開放。","飯店免費、Fitness First、早上 06:00 起、日費 300 THB","https://maps.google.com/?q=Fitness+First+Silom+Bangkok",""
曼谷,交通,"搭 BTS 捷運","BTS 捷運","曼谷空鐵，覆蓋 Silom、Sukhumvit 等主要區域。單程 16–59 THB，Rabbit Card 儲值卡更便利。避開 08:00–09:00 與 17:30–19:00 尖峰時段。","16–59 THB、Rabbit Card、尖峰請避開","https://maps.google.com/?q=BTS+Sala+Daeng+Station+Silom+Bangkok",""
曼谷,交通,"Grab 叫車","Grab","東南亞版 Uber，計費透明無議價困擾，曼谷交通首選。建議出發前下載 App 並綁定付款方式，在飯店外等待接送。","計費透明、必裝 App、飯店外等候、無需議價","https://maps.google.com/?q=The+Quarter+Silom+Bangkok",""
曼谷,交通,"嘟嘟車體驗","嘟嘟車","泰國三輪摩托計程車，短程觀光代步首選。務必出發前談好價錢，拒絕繞路帶去購物行程。體驗感十足但不適合長途。","先議價、短程適合、拒絕購物導覽、體驗感","https://maps.google.com/?q=Silom+Road+Bangkok",""
曼谷,交通,"船班（昭披耶河）","昭披耶河船","昭披耶河公共快船，最便宜且最有景觀的水上交通。橘旗船 15 THB 串聯主要景點，Saphan Taksin（BTS 可達）為主要起點。","15 THB、橘旗船、Saphan Taksin 起、串聯景點","https://maps.google.com/?q=Sathorn+Central+Pier+Bangkok",""
曼谷,交通,"Bolt 叫車","Bolt","東南亞叫車服務，與 Grab 類似，有時價格更便宜。建議出發前下載 App 並綁定付款方式，可作為 Grab 的替代選擇。","叫車 App、價格優惠、替代選擇、需綁卡","https://maps.google.com/?q=Bolt+App",""
芭達雅,美食,"Mum Aroi 海鮮餐廳","Mum Aroi","北芭達雅指標性海景餐廳，咖哩炒蟹非常出名，距 The Zign Hotel 約 5 分鐘車程，是周邊最具口碑的海鮮選擇。人均約 500–1,000 THB，建議提前訂位。","北芭達雅、海景餐廳、咖哩螃蟹、建議訂位","https://maps.google.com/?q=Mum+Aroi+Seafood+Restaurant+Pattaya",""
芭達雅,美食,"蘭坡海鮮市場 Lan Pho","蘭坡海鮮市場","距飯店約 6 分鐘。芭達雅最大的活海鮮市場，自選活海鮮後交由市場旁攤位代客料理（清蒸或炭烤），加工費依重量計，價格透明，是最划算的海鮮吃法。人均約 300–600 THB。","北芭達雅、自選活海鮮、代客料理、300–600 THB","https://maps.google.com/?q=Lan+Pho+Naklua+Market+Pattaya",""
芭達雅,美食,"The Seafood Naklua 12","The Seafood","飯店同條街（Naklua Soi 12），步行或搭飯店接駁車即可抵達。口味在地，菜色新鮮，適合抵達當天或不想出遠門的快速用餐。人均約 400–800 THB。","步行可達、同條街、400–800 THB、抵達當天首選","https://maps.google.com/?q=The+Seafood+Naklua+12+Pattaya",""
芭達雅,美食,"Ronin 日式料理","Ronin","隱身北芭達雅巷弄的高質感日式餐廳，裝潢極具美感，主打精緻壽司與生魚片料理。距飯店約 6 分鐘。人均約 1,000–2,000 THB。","北芭達雅、精緻日料、壽司生魚片、1,000–2,000 THB","https://maps.google.com/?q=Ronin+Japanese+Restaurant+Pattaya",""
芭達雅,美食,"Izakaya BAKU 燒肉","Izakaya BAKU","提供高品質日式燒肉（Yakiniku）與居酒屋料理，有牛舌、牛小排與內臟類，設有日式下沉式座位（Horigotatsu）。距飯店約 15 分鐘。人均約 600–1,000 THB。","日式燒肉、牛舌牛小排、居酒屋、600–1,000 THB","https://maps.google.com/?q=Izakaya+BAKU+Pattaya",""
芭達雅,美食,"Jae To 牛肉麵","Jae To 牛肉麵","北芭達雅在地傳奇泰式牛肉麵（ร้านเจ๊โต），距飯店約 8 分鐘。湯頭濃郁深厚，牛筋與牛肉塊軟爛入味，是早餐或快速午餐的首選。一碗約 80–150 THB。","北芭達雅、泰式牛肉麵、80–150 THB、在地傳奇","https://maps.google.com/?q=Jae+To+Beef+Noodles+Pattaya",""
芭達雅,美食,"Glass House Silver","Glass House Silver","著名 Glass House 在 Wongamat 沙灘的分店，全玻璃屋設計緊鄰沙灘。提供泰菜與西式餐點，日落時段氣氛極佳，距飯店約 5 分鐘，不需跑去南區。人均約 600–1,200 THB。","Wongamat 沙灘、全玻璃設計、600–1,200 THB、日落時段","https://maps.google.com/?q=Glass+House+Silver+Wongamat+Pattaya",""
芭達雅,美食,"Surf & Turf 海灘俱樂部","Surf & Turf Beach Club","位於 Wongamat 沙灘旁的半開放式海灘俱樂部，提供沙發躺椅、窯烤披薩、海鮮與調酒，步調悠閒。距飯店約 5 分鐘。人均約 500–1,000 THB。","Wongamat 海灘、悠閒風格、調酒披薩、500–1,000 THB","https://maps.google.com/?q=Surf+Turf+Beach+Club+Wongamat+Pattaya",""
芭達雅,美食,"Radius @ Cape Dara","Radius @ Cape Dara","坐擁芭達雅最美夕陽海景的景觀餐廳，提供自助餐或單點。距飯店約 10 分鐘，適合慶生或最後一晚聚餐。人均約 800–1,500 THB。","夕陽海景、自助或單點、800–1,500 THB、10 分鐘","https://maps.google.com/?q=Radius+Cape+Dara+Resort+Pattaya",""
芭達雅,美食,"Somtum Na Mueang","Somtum Na Mueang","北芭達雅傳奇平價伊善料理餐廳，距飯店約 8 分鐘。青木瓜沙拉、炸雞翅與涼拌菜色出色，是想吃正統泰北口味的首選。人均約 150–300 THB。","北芭達雅、青木瓜沙拉、炸雞翅、150–300 THB","https://maps.google.com/?q=Somtum+Na+Mueang+Pattaya",""
芭達雅,美食,"La Baguette 法式烘焙","La Baguette","芭達雅最知名的法式烘焙坊，可頌、杏仁塔與各式精緻法式甜點水準極高。距飯店約 10 分鐘，適合安排為早午餐或下午茶。人均約 200–400 THB。","法式烘焙、可頌甜點、200–400 THB、早午餐或下午茶","https://maps.google.com/?q=La+Baguette+French+Bakery+Pattaya",""
芭達雅,美食,"Terminal 21 美食街（芭達雅）","Terminal 21 Pier 21","Terminal 21 Pattaya 地下美食街（Pier 21），網羅各式泰式料理、麵食、飲料，冷氣舒適，價格比路邊攤還便宜。換匯 T.T. Currency Exchange 在 G 樓 2 號出口旁。距飯店約 10 分鐘。人均約 50–150 THB。","T21 地下、50–150 THB、冷氣舒適、換匯可順道","https://maps.google.com/?q=Terminal+21+Pattaya",""
芭達雅,美食,"The Beach Club Pullman","The Beach Club (Pullman)","位於 Pullman G Hotel 內的海灘俱樂部，定期舉辦海灘派對，氣氛熱鬧。調酒與炸物水準佳，距飯店約 8 分鐘。人均約 400–800 THB。","Pullman Hotel、海灘派對、400–800 THB、8 分鐘","https://maps.google.com/?q=Beach+Club+Pullman+Pattaya+G+Hotel",""
芭達雅,美食,"Fat Coco 池畔餐廳","Fat Coco","A-One Hotel 內的色彩繽紛熱帶風格池畔餐廳，有大型泳池，提供海鮮披薩與各式特調飲品，適合拍照打卡。距飯店約 12 分鐘。人均約 400–800 THB。","網美泳池、A-One Hotel、400–800 THB、義式餐點","https://maps.google.com/?q=Fat+Coco+Beach+Club+Pattaya",""
芭達雅,美食,"Jangwon 韓式燒烤","Jangwon","位於 Pattaya 2nd Road 的知名韓式燒烤，小菜豐富無限續加，專人桌邊代烤，肉品品質穩定。距飯店約 15 分鐘。人均約 500–800 THB。","韓式燒烤、小菜無限、桌邊代烤、500–800 THB","https://maps.google.com/?q=Jangwon+Korean+BBQ+Pattaya",""
芭達雅,美食,"Siam Elephant 泰菜","Siam Elephant","飯店周邊精緻泰式餐廳，環境優雅，菜色不過辣，適合怕辣或不習慣街頭小吃的成員。距飯店約 5 分鐘。人均約 400–700 THB。","北芭達雅、精緻泰菜、400–700 THB、5 分鐘","https://maps.google.com/?q=Siam+Elephant+Restaurant+Pattaya",""
芭達雅,美食,"Somtum Villa 泰北料理","Somtum Villa","位於 Z Space 複合式園區，工業摩登風格，推薦烤豬頸肉（Kor Moo Yang）與招牌炒飯。距飯店約 12 分鐘。人均約 200–400 THB。","工業風、豬頸肉、200–400 THB、Z Space","https://maps.google.com/?q=Somtum+Villa+Pattaya",""
芭達雅,美食,"Jasmin's Café","Jasmin's Café","評價極高的溫馨咖啡廳，咖啡水準穩定，泰式家常菜（綠咖哩、打拋豬）同樣細緻。距飯店約 15 分鐘。人均約 200–400 THB。","精品咖啡、泰式家常、200–400 THB、15 分鐘","https://maps.google.com/?q=Jasmins+Cafe+Pattaya",""
芭達雅,美食,"Khao Tom Pla 鮮魚湯飯","Khao Tom Pla Jae Juk","鮮甜的海鮮粥與鮮魚湯飯專賣店，是早上開胃或深夜宵夜的首選。現煎泰式脆餅也是必點小吃。距飯店約 8 分鐘。人均約 150–300 THB。","鮮魚湯飯、宵夜首選、150–300 THB、8 分鐘","https://maps.google.com/?q=Khao+Tom+Pla+Jae+Juk+Pattaya",""
芭達雅,美食,"Shelter Coffee 精品咖啡","Shelter Coffee","北芭達雅知名精品咖啡店，環境清新舒適，提供高品質手沖咖啡，適合早起安靜喝一杯。距飯店約 7 分鐘。","北芭達雅、精品手沖、7 分鐘、清晨首選","https://maps.google.com/?q=Shelter+Coffee+Pattaya",""
芭達雅,美食,"The Sky Gallery 鳥巢餐廳","Sky Gallery","芭達雅知名鳥巢造型網美餐廳，位於高處可俯瞰海景，黃昏時刻最美。提供泰式與西式料理，需提前訂位。人均約 500–1,000 THB。","網美餐廳、鳥巢造型、海景夕陽、需訂位","https://maps.google.com/?q=The+Sky+Gallery+Pattaya",""
芭達雅,美食,"3 Mermaids 鳥巢餐廳","3 Mermaids","另一間芭達雅鳥巢造型餐廳，裝潢唯美，提供海鮮與泰式料理，適合拍照打卡。黃昏場次最受歡迎，建議提前訂位。人均約 500–1,000 THB。","網美餐廳、鳥巢造型、海鮮泰菜、需訂位","https://maps.google.com/?q=3+Mermaids+Restaurant+Pattaya",""
芭達雅,美食,"Eak Fish Balls 魚丸","Eak Fish Balls","芭達雅在地人推薦的魚丸專賣店，魚丸彈牙鮮甜，湯頭清爽，是早餐或宵夜的好選擇。價格便宜，人均約 50–100 THB。","在地美食、魚丸專賣、平價小吃、50–100 THB","https://maps.google.com/?q=Eak+Fish+Balls+Pattaya",""
芭達雅,美食,"Khun Sri 美食","Khun Sri","芭達雅在地人喜愛的泰式小吃店，提供炒飯、炒麵、湯品等家常料理，價格實惠，份量足。人均約 60–150 THB。","在地小吃、泰式家常、平價、60–150 THB","https://maps.google.com/?q=Khun+Sri+Pattaya",""
芭達雅,美食,"Rimpa Lapin ⚠️遠","Rimpa Lapin ⚠️需包車","⚠️ 距飯店約 45 分鐘以上（單程），地點偏僻，用餐後 Grab 叫車困難，建議出發前直接包車來回。沿山壁建造的懸崖景觀餐廳，可無死角俯瞰芭達雅海岸線，黃昏最美。人均約 600–1,200 THB。","⚠️需包車、懸崖景觀、Na Jomtien、600–1,200 THB","https://maps.google.com/?q=Rimpa+Lapin+Pattaya","距離較遠"
芭達雅,美食,"Pupen Seafood ⚠️遠","Pupen Seafood ⚠️需評估","⚠️ 位於中天海灘末端，與北芭達雅完全反方向，距飯店約 30–40 分鐘（單程），來回交通時間與車資成本較高。在地人家庭聚餐熱門大型海鮮餐廳，門口有巨型螃蟹地標。人均約 500–1,000 THB。","⚠️距離遠、Jomtien 末端、在地家庭餐廳、500–1,000 THB","https://maps.google.com/?q=Pupen+Seafood+Jomtien+Pattaya","距離較遠"
芭達雅,美食,"Cabbages & Condoms ⚠️遠","Cabbages & Condoms ⚠️需專程","⚠️ 位於帕塔納克山區，距飯店約 25–35 分鐘，需特別專程安排前往。半山腰知名庭院餐廳，擁有極佳夕陽海景，提供正宗泰菜，收益部分用於泰國公益。人均約 500–800 THB。","⚠️需專程、帕塔納克山、夕陽海景、500–800 THB","https://maps.google.com/?q=Cabbages+Condoms+Pattaya","距離較遠"
芭達雅,美食,"Cafe des Amis ⚠️遠","Cafe des Amis ⚠️Fine Dining","⚠️ 距飯店約 25–40 分鐘，晚餐時段極易遭遇塞車，需大幅提早出發。隱身住宅區內的頂級法式 Fine Dining，威靈頓牛排與香煎鵝肝為招牌，適合特殊慶祝場合。人均約 1,500–3,000 THB。","⚠️塞車風險、Fine Dining、法式歐陸、1,500–3,000 THB","https://maps.google.com/?q=Cafe+des+Amis+Pattaya","距離較遠"
芭達雅,美食,"Lobster Pot ⚠️觀光客店","Lobster Pot ⚠️","⚠️ 屬典型觀光客店，常有價格不透明及餐點份量不符預期的反映，建議避開。位於 Walking Street 上的老牌龍蝦餐廳。","⚠️建議避開、觀光客店、Walking Street、龍蝦","https://maps.google.com/?q=Lobster+Pot+Restaurant+Pattaya","觀光客導向"
芭達雅,景點,"真理聖殿 Sanctuary of Truth","真理聖殿","強烈推薦。全木造無釘建築，高達 105 公尺，以印度教與佛教木雕藝術覆蓋全身，極為壯觀。位於北芭達雅海岸，距 The Zign Hotel 約 5 分鐘車程，極近且必看。票價約 500 THB，開放 08:00–18:00。","強烈推薦、北芭達雅、距飯店 ~5min、票價 500 THB","https://maps.google.com/?q=Sanctuary+of+Truth+Pattaya",""
芭達雅,景點,"珊瑚島 Koh Larn","珊瑚島","芭達雅最熱門的離島一日遊，透明海水、白沙灘、浮潛體驗俱佳。從 Bali Hai Pier（南芭達雅）搭渡輪約 30 分鐘，單程船票約 30 THB。建議全天安排（09:00 出發）。","離島、渡輪 30min、浮潛、全天行程","https://maps.google.com/?q=Koh+Larn+Pattaya+Coral+Island",""
芭達雅,景點,"農農熱帶花園 Nong Nooch","農農熱帶花園","世界級熱帶植物園，占地廣闊，含仙人掌園、蝴蝶園與每日泰式文化表演（象秀、武術）。距市中心約 15 km，Grab 約 30 分鐘，票價含表演約 600 THB。","植物園、象秀表演、距市中心 15km、600 THB","https://maps.google.com/?q=Nong+Nooch+Tropical+Garden+Pattaya",""
芭達雅,景點,"芭達雅觀景台 Pratumnak Hill","觀景台","Pratumnak 山丘頂的芭達雅灣全景觀景台，可俯瞰整個芭達雅海灣與城市，日落時段最美。距 Central Pattaya 約 15 分鐘，免費參觀。","免費、日落景點、俯瞰芭達雅灣、15min 車程","https://maps.google.com/?q=Pattaya+Viewpoint+Pratumnak+Hill",""
芭達雅,景點,"芭達雅水上市場 Floating Market","水上市場","四方水上市場（Four Regions Floating Market），以木橋連接各區，販售泰國四地區傳統食物與手工藝品。距市中心約 30 分鐘，票價 200 THB，每日開放。","四方市場、傳統工藝、200 THB、距市中心 ~30min","https://maps.google.com/?q=Four+Regions+Floating+Market+Pattaya",""
芭達雅,景點,"蒂芬妮人妖秀 Tiffany's Show","蒂芬妮人妖秀 Tiffany's Show","","","",""
芭達雅,景點,"芭達雅 3D 美術館","Art in Paradise","室內冷氣景點，透過視覺錯位技術繪製的大型 3D 壁畫，與畫面互動拍出視覺錯覺照片。距飯店約 10 分鐘，適合喜歡互動藝術的行程安排。票價約 400 THB。","室內冷氣、3D互動、打卡拍照、票價 400 THB","https://maps.google.com/?q=Art+in+Paradise+3D+Museum+Pattaya",""
芭達雅,景點,"迷你暹羅 Mini Siam","迷你暹羅","匯集泰國歷史名勝（大皇宮、鄭王廟）與世界知名建築的微縮模型園區，適合快速瀏覽各國地標。距飯店約 10 分鐘。票價約 300 THB。","微縮模型、世界地標、300 THB、10 分鐘","https://maps.google.com/?q=Mini+Siam+Pattaya",""
芭達雅,景點,"大佛山 Khao Phra Bat","大佛山","山丘上的大型金色佛像，可俯瞰芭達雅城市與海灣，山頂亦有寺廟群。位於北芭達雅，免費參觀，需步行上山，建議早上前往避免烈日。","免費、北芭達雅、金色大佛、需步行上山","https://maps.google.com/?q=Wat+Khao+Phra+Bat+Pattaya+Big+Buddha",""
芭達雅,景點,"月光市場 Thepprasit","月光市場","芭達雅規模最大的週末夜市，販售服裝、3C、食物、紀念品，價格比觀光區便宜。位於南芭達雅 Thepprasit Road，週五六日 17:00–23:00，Grab 前往約 25 分鐘。","週五六日限定、17:00–23:00、南芭達雅、Grab 約 25min","https://maps.google.com/?q=Thepprasit+Night+Market+Pattaya",""
芭達雅,景點,"芭達雅飛機夜市","芭達雅飛機夜市","以退役飛機為裝置藝術的特色夜市，結合街頭美食、飲料攤與網紅打卡區。位於 Jomtien 區，每日傍晚開放，Grab 約 20 分鐘。","退役飛機裝置、打卡夜市、每日傍晚、Grab ~20min","https://maps.google.com/?q=Pattaya+Airplane+Night+Market+Jomtien",""
芭達雅,景點,"芭達雅海灘","芭達雅海灘","芭達雅主要海灘，長達 4 公里，適合散步、游泳、看夕陽。日落時間約 18:00–18:30，傍晚最美。海灘周邊有眾多餐廳與酒吧。","主要海灘、看夕陽、免費、18:00 日落","https://maps.google.com/?q=Pattaya+Beach",""
芭達雅,景點,"Terminal 21 Pattaya","Terminal 21","芭達雅大型購物中心，以機場航站樓為主題，每層樓代表不同國家城市。提供購物、美食街、電影院等，營業至 22:00。","購物中心、美食街、主題裝潢、22:00 關","https://maps.google.com/?q=Terminal+21+Pattaya",""
芭達雅,景點,"La marche 購物","La marche","芭達雅購物區，提供服飾、配件、紀念品等，價格合理。適合逛街購物，晚上較熱鬧。","購物區、服飾配件、晚上熱鬧、合理價格","https://maps.google.com/?q=La+marche+Pattaya",""
芭達雅,景點,"The Light 夜市","The Light","芭達雅夜市，提供小吃、服飾、手工藝品等，氣氛熱鬧。營業時間約 17:00–23:00。","夜市、小吃、17:00–23:00、手工藝品","https://maps.google.com/?q=The+Light+Night+Market+Pattaya",""
芭達雅,景點,"6996 成人秀","6996 Show","芭達雅知名成人秀表演，一場約 1 小時。提前買票比現場便宜，票價約 800 THB。其他選擇：99 Show、89 Show。","成人秀、1 小時、800 THB、提前買票","https://maps.google.com/?q=6996+Show+Pattaya",""
芭達雅,景點,"99 Show","99 Show","芭達雅成人秀表演之一，與 6996 Show 類似，一場約 1 小時。建議提前購票，票價約 800 THB。","成人秀、1 小時、800 THB、提前買票","https://maps.google.com/?q=99+Show+Pattaya",""
芭達雅,景點,"89 Show","89 Show","芭達雅成人秀表演之一，與 6996 Show、99 Show 類似，一場約 1 小時。建議提前購票，票價約 800 THB。","成人秀、1 小時、800 THB、提前買票","https://maps.google.com/?q=89+Show+Pattaya",""
芭達雅,景點,"Walking Street","Walking Street","芭達雅最知名的夜生活街區，長約 1 公里，聚集酒吧、夜店、餐廳、成人秀場等。約 18:00 開始熱鬧，深夜最盛。","夜生活、酒吧夜店、18:00 開始、深夜最旺","https://maps.google.com/?q=Walking+Street+Pattaya",""
芭達雅,景點,"BoyzTown","BoyzTown","芭達雅同志友善酒吧街區，氣氛輕鬆友善，提供各式酒吧與表演。約 20:00 開始營業，深夜最熱鬧。","Gay-friendly、酒吧街、20:00 開始、輕鬆友善","https://maps.google.com/?q=BoyzTown+Pattaya",""
芭達雅,景點,"綠山野生動物園","綠山動物園","距芭達雅約 1 小時車程的大型開放式野生動物園，可近距離接觸長頸鹿、斑馬等動物，適合一日遊。需包車前往，門票約 500 THB。","野生動物園、一日遊、需包車、500 THB","https://maps.google.com/?q=Khao+Kheow+Open+Zoo",""
芭達雅,景點,"芭提雅私人定製一日遊","芭提雅定製遊","客製化芭達雅一日遊行程，可依需求安排景點、用餐地點與時間。適合想彈性安排行程的旅客，需提前預約。","客製化、一日遊、彈性安排、需預約","https://maps.google.com/?q=Pattaya+Private+Tour",""
芭達雅,景點,"Jomtien Complex","Jomtien Complex","中天海灘區的同志友善酒吧與餐廳聚集地，氣氛悠閒，提供海鮮、烤肉等。約 18:00 開始營業。","Jomtien、Gay-friendly、海鮮餐廳、18:00 開始","https://maps.google.com/?q=Jomtien+Complex+Pattaya",""
芭達雅,景點,"The Oxygen Beach","The Oxygen Beach","Jomtien Complex 內的海灘酒吧，提供調酒、啤酒與輕食，可邊看海邊放鬆。氣氛悠閒，適合傍晚前往。","海灘酒吧、Jomtien、調酒、傍晚推薦","https://maps.google.com/?q=The+Oxygen+Beach+Jomtien+Pattaya",""
芭達雅,放鬆,"Siladon Spa Pattaya","Siladon Spa","距 The Zign Hotel 極近。位於傳統泰式柚木高腳屋內，環境古色古香，精油按摩與身體磨砂服務口碑極佳。人均約 800–2,000 THB，建議電話提前預約。","距飯店極近、柚木高腳屋、精油磨砂、800–2,000 THB","https://maps.google.com/?q=Siladon+Spa+Pattaya",""
芭達雅,放鬆,"Health Land Pattaya","Health Land Pattaya","位於北芭達雅主要幹道，佔地極廣，與曼谷分店同樣提供高性價比的標準泰式按摩，按壓力道充足，品質穩定。人均約 600–1,200 THB。","北芭達雅、連鎖穩定品質、600–1,200 THB、按壓充足","https://maps.google.com/?q=Health+Land+Pattaya",""
芭達雅,放鬆,"Let's Relax Spa（芭達雅）","Let's Relax (Terminal 21)","位於 Terminal 21 百貨內，逛街後前往極為順路，環境明亮整潔。泰式按摩 1 小時約 800–1,500 THB，品質與曼谷分店一樣穩定，建議線上預約。","Terminal 21 內、逛街順路、800–1,500 THB、連鎖穩定","https://maps.google.com/?q=Let's+Relax+Spa+Terminal+21+Pattaya",""
芭達雅,放鬆,"Grace Spa Pattaya","Grace Spa","鄰近 The Zign Hotel 區域，全獨立小木屋包廂，私密性極高。以熱石按摩（Hot Stone）與草藥球熱敷為招牌。人均約 1,000–2,500 THB。","鄰近飯店、木屋包廂、熱石草藥球、1,000–2,500 THB","https://maps.google.com/?q=Grace+Spa+Pattaya",""
芭達雅,放鬆,"Yunomori Onsen Pattaya","Yunomori Onsen Pattaya","設施規模龐大的日式溫泉會館，位於 Thepprasit 區。提供最安全、乾淨且徹底放鬆的環境。Onsen 入場約 500 THB，加按摩套餐約 1,000–2,000 THB。","日式溫泉、Thepprasit、大型設施、1,000–2,000 THB","https://maps.google.com/?q=Yunomori+Onsen+Spa+Pattaya",""
芭達雅,放鬆,"Soda Massage（Jomtien）","Soda Massage","Jomtien Complex 區域內最大的男士按摩會館，近期翻新，環境舒適。提供泰式按摩、油壓等多種服務。位於 Jomtien Complex 內，營業至深夜。","Jomtien Complex、Gay-friendly、男士按摩、近期翻新","https://maps.google.com/?q=Soda+Massage+Jomtien+Complex+Pattaya",""
芭達雅,放鬆,"Foxy Smile Massage","Foxy Smile","Jomtien Complex 內知名的男士按摩店，服務品質穩定，價格合理。提供多種按摩選項，環境整潔。","Jomtien Complex、Gay-friendly、男士按摩","https://maps.google.com/?q=Foxy+Smile+Massage+Jomtien+Pattaya",""
芭達雅,放鬆,"Burirom Massage","Burirom","Jomtien Complex 區域內的按摩店，提供傳統泰式按摩與油壓服務。師傅技術好，環境乾淨舒適。","Jomtien Complex、泰式按摩、男士按摩","https://maps.google.com/?q=Burirom+Massage+Jomtien+Pattaya",""
芭達雅,放鬆,"#1 Health Massage","#1 Health","Jomtien Complex 內的人氣按摩店，以健康按摩為主，師傅經驗豐富。環境整潔，價格公道。","Jomtien Complex、健康按摩、男士按摩","https://maps.google.com/?q=1+Health+Massage+Jomtien+Pattaya",""
芭達雅,放鬆,"Copa Body Club（Boyztown）","Copa Body Club","位於 Boyztown 區域的知名男士按摩會館，環境高級，服務專業。提供各式按摩與 SPA 療程，是 Boyztown 區域的指標店家。","Boyztown、Gay-friendly、男士按摩、高級會館","https://maps.google.com/?q=Copa+Body+Club+Boyztown+Pattaya",""
芭達雅,放鬆,"Relax @ Me ⚠️遠","Relax @ Me ⚠️遠","⚠️ 位於南區 Soi Day Night，距飯店約 20–30 分鐘。由訓練有素的男技師提供足部按摩與泰式油壓，房間乾淨且設有隔簾，價格合理。人均約 800–1,500 THB。","⚠️南區、男技師、足部油壓、800–1,500 THB","https://maps.google.com/?q=Relax+Me+Massage+Pattaya+Soi+Day+Night","距離較遠"
芭達雅,放鬆,"Sensations Massage ⚠️遠","Sensations Massage ⚠️遠","⚠️ 位於 Jomtien Complex（南區），距飯店約 20–30 分鐘。老字號同志按摩，氛圍輕鬆，具備不同體型師傅可選。人均約 1,000–2,000 THB。","⚠️Jomtien Complex、老字號、輕鬆氛圍、1,000–2,000 THB","https://maps.google.com/?q=Sensations+Massage+Jomtien+Pattaya","距離較遠"
芭達雅,放鬆,"TBMI Pattaya ⚠️遠","TBMI 盲人按摩 ⚠️遠","⚠️ 位於 Jomtien Complex（南區），距飯店約 20–30 分鐘。雖非純同志店，但在同志社群中極受歡迎。提供高 CP 值專業盲人按摩，可指定男師傅，設有私人包廂。人均約 300–600 THB。","⚠️Jomtien Complex、盲人按摩、高CP值、300–600 THB","https://maps.google.com/?q=TBMI+Thai+Blind+Massage+Jomtien+Pattaya","距離較遠"
